"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
1043302,"980000","1",72500,,"5"
1043302,"980070","1",63744,,"1"
1043302,"980070","1",63744,,"2"
1043302,"980070","1",63744,,"3"
1043302,"980070","1",63744,,"4"
1043302,"980070","1",63744,,"5"
1047792,"800940","1",9648,"T","1"
1047792,"800940","1",9648,"T","2"
1047792,"800940","1",9648,"T","3"
1047792,"800940","1",9648,"T","4"
1047792,"800940","1",9648,"T","5"
1047792,"900000","1",13000,,"1"
1047792,"900000","1",41751,,"2"
1047792,"900000","1",56531,,"3"
1047792,"900000","1",43017,,"4"
1047792,"900000","1",54481,,"5"
1047792,"900010","1",21913,,"1"
1047792,"900010","1",112517,,"2"
1047792,"900010","1",137439,,"3"
1047792,"900010","1",4259,,"4"
1047792,"900010","1",102422,,"5"
1047792,"980000","1",34913,,"1"
1047792,"980000","1",154268,,"2"
1047792,"980000","1",193970,,"3"
1047792,"980000","1",47276,,"4"
1047792,"980000","1",156903,,"5"
1047792,"980070","1",34913,,"1"
1047792,"980070","1",154268,,"2"
1047792,"980070","1",193970,,"3"
1047792,"980070","1",47276,,"4"
1047792,"980070","1",156903,,"5"
1044532,"800940","1",3718,,"1"
1044532,"800940","1",1852,,"2"
1044532,"800940","1",4011,,"3"
1044532,"800940","1",3768,,"4"
1044532,"800940","1",2412,,"5"
1044532,"900000","1",48610,,"1"
1044532,"900000","1",24213,,"2"
1044532,"900000","1",52438,,"3"
1044532,"900000","1",49252,,"4"
1044532,"900000","1",31542,,"5"
1044532,"900030","1",18857,,"1"
1044532,"900030","1",19901,,"2"
1044532,"900030","1",10829,,"3"
1044532,"900030","1",14201,,"4"
1044532,"900030","1",10805,,"5"
1044532,"900040","1",10194,,"1"
1044532,"900040","1",2293,,"2"
1044532,"900040","1",12103,,"3"
1044532,"900040","1",4612,,"4"
1044532,"900040","1",263,,"5"
1044532,"980000","1",77661,,"1"
1044532,"980000","1",46407,,"2"
1044532,"980000","1",75370,,"3"
1044532,"980000","1",68065,,"4"
1044532,"980000","1",42610,,"5"
1044532,"980070","1",77661,,"1"
1044532,"980070","1",46407,,"2"
1044532,"980070","1",75370,,"3"
1044532,"980070","1",68065,,"4"
1044532,"980070","1",42610,,"5"
1040582,"900030","1",16241,,"1"
1040582,"900030","1",16649,,"2"
1040582,"900030","1",17237,,"3"
1040582,"900030","1",14321,,"4"
1040582,"900030","1",18533,,"5"
1040582,"980000","1",16241,,"1"
1040582,"980000","1",16649,,"2"
1040582,"980000","1",17237,,"3"
1040582,"980000","1",14321,,"4"
1040582,"980000","1",18533,,"5"
1040582,"980070","1",16241,,"1"
1040582,"980070","1",16649,,"2"
1040582,"980070","1",17237,,"3"
1040582,"980070","1",14321,,"4"
1040582,"980070","1",18533,,"5"
1050351,"900030","1",12029,,"1"
1050351,"900030","1",12029,,"2"
1050351,"900030","1",12029,,"3"
1050351,"900030","1",12029,,"4"
1050351,"900030","1",12029,,"5"
1050351,"900040","1",600,,"1"
1050351,"900040","1",600,,"2"
1050351,"900040","1",600,,"3"
1050351,"900040","1",600,,"4"
1050351,"900040","1",600,,"5"
1050351,"900050","1",136,,"1"
1050351,"900050","1",136,,"2"
1050351,"900050","1",136,,"3"
1050351,"900050","1",136,,"4"
1050351,"900050","1",136,,"5"
1050351,"980000","1",12765,,"1"
1050351,"980000","1",12765,,"2"
1050351,"980000","1",12765,,"3"
1050351,"980000","1",12765,,"4"
1050351,"980000","1",12765,,"5"
1050351,"980070","1",12811,,"1"
1050351,"980070","1",12811,,"2"
1050351,"980070","1",12811,,"3"
1050351,"980070","1",12811,,"4"
1050351,"980070","1",12811,,"5"
1050352,"900030","1",12029,,"1"
1050352,"900030","1",12029,,"2"
1050352,"900030","1",12029,,"3"
1050352,"900030","1",12029,,"4"
1050352,"900030","1",12029,,"5"
1050352,"900040","1",600,,"1"
1050352,"900040","1",600,,"2"
1050352,"900040","1",600,,"3"
1050352,"900040","1",600,,"4"
1050352,"900040","1",600,,"5"
1050352,"900050","1",136,,"1"
1050352,"900050","1",136,,"2"
1050352,"900050","1",136,,"3"
1050352,"900050","1",136,,"4"
1050352,"900050","1",136,,"5"
1050352,"980000","1",12765,,"1"
1050352,"980000","1",12765,,"2"
1050352,"980000","1",12765,,"3"
1050352,"980000","1",12765,,"4"
1050352,"980000","1",12765,,"5"
1050352,"980070","1",12811,,"1"
1050352,"980070","1",12811,,"2"
1050352,"980070","1",12811,,"3"
1050352,"980070","1",12811,,"4"
1050352,"980070","1",12811,,"5"
1047231,"800940","1",1518,,"1"
1047231,"800940","1",1167,,"2"
1047231,"800940","1",1173,,"3"
1047231,"800940","1",1154,,"4"
1047231,"800940","1",1423,,"5"
1047231,"900000","1",19845,,"1"
1047231,"900000","1",15252,,"2"
1047231,"900000","1",15338,,"3"
1047231,"900000","1",15082,,"4"
1047231,"900000","1",18596,,"5"
