"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
1202211,"950012","1",1165,,"5"
1202211,"980000","1",120249,,"1"
1202211,"980000","1",108894,,"2"
1202211,"980000","1",121004,,"3"
1202211,"980000","1",110580,,"4"
1202211,"980000","1",117350,,"5"
1202211,"980070","1",117434,,"1"
1202211,"980070","1",107235,,"2"
1202211,"980070","1",118158,,"3"
1202211,"980070","1",108833,,"4"
1202211,"980070","1",113881,,"5"
1202212,"800940","1",8710,,"1"
1202212,"800940","1",9085,,"2"
1202212,"800940","1",8111,,"3"
1202212,"800940","1",9581,,"4"
1202212,"800940","1",8207,,"5"
1202212,"900000","1",113858,,"1"
1202212,"900000","1",118765,,"2"
1202212,"900000","1",106035,,"3"
1202212,"900000","1",125246,,"4"
1202212,"900000","1",107292,,"5"
1202212,"900080","1",2187,,"1"
1202212,"900080","1",2032,,"2"
1202212,"900080","1",2311,,"3"
1202212,"900080","1",2024,,"4"
1202212,"900080","1",2105,,"5"
1202212,"950002","1",6410,,"1"
1202212,"950002","1",6262,,"2"
1202212,"950002","1",5590,,"3"
1202212,"950002","1",7229,,"4"
1202212,"950002","1",6608,,"5"
1202212,"950012","1",1039,,"1"
1202212,"950012","1",1015,,"2"
1202212,"950012","1",906,,"3"
1202212,"950012","1",1172,,"4"
1202212,"950012","1",1072,,"5"
1202212,"980000","1",116045,,"1"
1202212,"980000","1",120797,,"2"
1202212,"980000","1",108346,,"3"
1202212,"980000","1",127270,,"4"
1202212,"980000","1",109397,,"5"
1202212,"980070","1",113477,,"1"
1202212,"980070","1",118401,,"2"
1202212,"980070","1",106731,,"3"
1202212,"980070","1",123750,,"4"
1202212,"980070","1",106598,,"5"
1204101,"900110","1",24000,,"1"
1204101,"900110","1",24000,,"2"
1204101,"900110","1",24000,,"3"
1204101,"900110","1",24000,,"4"
1204101,"900110","1",24000,,"5"
1204101,"900150","1",2400,,"1"
1204101,"900150","1",2400,,"2"
1204101,"900150","1",2400,,"3"
1204101,"900150","1",2400,,"4"
1204101,"900150","1",2400,,"5"
1204101,"980000","1",26400,,"1"
1204101,"980000","1",26400,,"2"
1204101,"980000","1",26400,,"3"
1204101,"980000","1",26400,,"4"
1204101,"980000","1",26400,,"5"
1204101,"980070","1",26400,,"1"
1204101,"980070","1",26400,,"2"
1204101,"980070","1",26400,,"3"
1204101,"980070","1",26400,,"4"
1204101,"980070","1",26400,,"5"
1204102,"900110","1",24000,,"1"
1204102,"900110","1",24000,,"2"
1204102,"900110","1",24000,,"3"
1204102,"900110","1",24000,,"4"
1204102,"900110","1",24000,,"5"
1204102,"900150","1",2400,,"1"
1204102,"900150","1",2400,,"2"
1204102,"900150","1",2400,,"3"
1204102,"900150","1",2400,,"4"
1204102,"900150","1",2400,,"5"
1204102,"980000","1",26400,,"1"
1204102,"980000","1",26400,,"2"
1204102,"980000","1",26400,,"3"
1204102,"980000","1",26400,,"4"
1204102,"980000","1",26400,,"5"
1204102,"980070","1",26400,,"1"
1204102,"980070","1",26400,,"2"
1204102,"980070","1",26400,,"3"
1204102,"980070","1",26400,,"4"
1204102,"980070","1",26400,,"5"
1207021,"800940","1",2236,,"1"
1207021,"800940","1",1580,,"2"
1207021,"800940","1",1951,,"3"
1207021,"800940","1",2230,,"4"
1207021,"800940","1",2270,,"5"
1207021,"900000","1",29234,,"1"
1207021,"900000","1",20652,,"2"
1207021,"900000","1",25506,,"3"
1207021,"900000","1",29145,,"4"
1207021,"900000","1",29669,,"5"
1207021,"900080","1",26,,"1"
1207021,"900080","1",26,,"2"
1207021,"900080","1",26,,"3"
1207021,"900080","1",26,,"4"
1207021,"900080","1",26,,"5"
1207021,"900132","1",15600,,"1"
1207021,"900132","1",11928,,"2"
1207021,"900132","1",1260,,"3"
1207021,"900132","1",1261,,"4"
1207021,"900132","1",207,,"5"
1207021,"980000","1",44860,,"1"
1207021,"980000","1",32606,,"2"
1207021,"980000","1",26792,,"3"
1207021,"980000","1",30432,,"4"
1207021,"980000","1",29902,,"5"
1207021,"980070","1",45200,,"1"
1207021,"980070","1",32946,,"2"
1207021,"980070","1",27132,,"3"
1207021,"980070","1",30772,,"4"
1207021,"980070","1",30242,,"5"
1207022,"800940","1",1689,,"1"
1207022,"800940","1",2011,,"2"
1207022,"800940","1",1697,,"3"
1207022,"800940","1",2037,,"4"
1207022,"800940","1",2244,,"5"
1207022,"900000","1",22079,,"1"
1207022,"900000","1",26292,,"2"
1207022,"900000","1",22188,,"3"
1207022,"900000","1",26623,,"4"
1207022,"900000","1",29327,,"5"
1207022,"900080","1",26,,"1"
1207022,"900080","1",26,,"2"
1207022,"900080","1",26,,"3"
1207022,"900080","1",26,,"4"
1207022,"900080","1",26,,"5"
