"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"900180",4000,"5",1482591,"1",
"900190",10000,"1",1482591,"1",
"900190",10000,"2",1482591,"1",
"900190",10000,"3",1482591,"1",
"900190",10000,"4",1482591,"1",
"900190",10000,"5",1482591,"1",
"980000",251200,"1",1482591,"1",
"980000",251200,"2",1482591,"1",
"980000",251200,"3",1482591,"1",
"980000",251200,"4",1482591,"1",
"980000",251200,"5",1482591,"1",
"980070",251200,"1",1482591,"1",
"980070",251200,"2",1482591,"1",
"980070",251200,"3",1482591,"1",
"980070",251200,"4",1482591,"1",
"980070",251200,"5",1482591,"1",
"800940",10512,"1",1482592,"1","T"
"800940",10512,"2",1482592,"1","T"
"800940",10512,"3",1482592,"1","T"
"800940",10512,"4",1482592,"1","T"
"800940",10512,"5",1482592,"1","T"
"900000",200000,"1",1482592,"1",
"900000",200000,"2",1482592,"1",
"900000",200000,"3",1482592,"1",
"900000",200000,"4",1482592,"1",
"900000",200000,"5",1482592,"1",
"900090",7200,"1",1482592,"1",
"900090",7200,"2",1482592,"1",
"900090",7200,"3",1482592,"1",
"900090",7200,"4",1482592,"1",
"900090",7200,"5",1482592,"1",
"900160",30000,"1",1482592,"1",
"900160",30000,"2",1482592,"1",
"900160",30000,"3",1482592,"1",
"900160",30000,"4",1482592,"1",
"900160",30000,"5",1482592,"1",
"900180",4000,"1",1482592,"1",
"900180",4000,"2",1482592,"1",
"900180",4000,"3",1482592,"1",
"900180",4000,"4",1482592,"1",
"900180",4000,"5",1482592,"1",
"900190",10000,"1",1482592,"1",
"900190",10000,"2",1482592,"1",
"900190",10000,"3",1482592,"1",
"900190",10000,"4",1482592,"1",
"900190",10000,"5",1482592,"1",
"980000",251200,"1",1482592,"1",
"980000",251200,"2",1482592,"1",
"980000",251200,"3",1482592,"1",
"980000",251200,"4",1482592,"1",
"980000",251200,"5",1482592,"1",
"980070",251200,"1",1482592,"1",
"980070",251200,"2",1482592,"1",
"980070",251200,"3",1482592,"1",
"980070",251200,"4",1482592,"1",
"980070",251200,"5",1482592,"1",
"900030",12226,"1",1482611,"1",
"900030",12226,"2",1482611,"1",
"900030",12226,"3",1482611,"1",
"900030",12226,"4",1482611,"1",
"900030",12226,"5",1482611,"1",
"900170",4300,"1",1482611,"1",
"900170",4300,"2",1482611,"1",
"900170",4300,"3",1482611,"1",
"900170",4300,"4",1482611,"1",
"900170",4300,"5",1482611,"1",
"900180",124,"1",1482611,"1",
"900180",395,"2",1482611,"1",
"900180",128,"3",1482611,"1",
"900180",44,"4",1482611,"1",
"900180",106,"5",1482611,"1",
"980000",16650,"1",1482611,"1",
"980000",16921,"2",1482611,"1",
"980000",16654,"3",1482611,"1",
"980000",16570,"4",1482611,"1",
"980000",16632,"5",1482611,"1",
"980070",18118,"1",1482611,"1",
"980070",18389,"2",1482611,"1",
"980070",18122,"3",1482611,"1",
"980070",18038,"4",1482611,"1",
"980070",18100,"5",1482611,"1",
"900030",12226,"1",1482612,"1",
"900030",12226,"2",1482612,"1",
"900030",12226,"3",1482612,"1",
"900030",12226,"4",1482612,"1",
"900030",12226,"5",1482612,"1",
"900170",4300,"1",1482612,"1",
"900170",4300,"2",1482612,"1",
"900170",4300,"3",1482612,"1",
"900170",4300,"4",1482612,"1",
"900170",4300,"5",1482612,"1",
"900180",128,"1",1482612,"1",
"900180",36,"2",1482612,"1",
"900180",7,"3",1482612,"1",
"900180",127,"4",1482612,"1",
"900180",111,"5",1482612,"1",
"980000",16654,"1",1482612,"1",
"980000",16562,"2",1482612,"1",
"980000",16533,"3",1482612,"1",
"980000",16653,"4",1482612,"1",
"980000",16637,"5",1482612,"1",
"980070",18122,"1",1482612,"1",
"980070",18030,"2",1482612,"1",
"980070",18001,"3",1482612,"1",
"980070",18121,"4",1482612,"1",
"980070",18105,"5",1482612,"1",
"900000",55388,"1",1482621,"1",
"900000",68959,"2",1482621,"1",
"900000",51116,"3",1482621,"1",
"900000",69972,"4",1482621,"1",
"900000",68793,"5",1482621,"1",
"900180",17,"1",1482621,"1",
"900180",39,"2",1482621,"1",
"900180",131,"3",1482621,"1",
"900180",61,"4",1482621,"1",
"900180",92,"5",1482621,"1",
"900200",157466,"1",1482621,"1",
"900200",2429,"2",1482621,"1",
"900200",536,"3",1482621,"1",
"900200",473,"4",1482621,"1",
"900200",66394,"5",1482621,"1",
"980000",212871,"1",1482621,"1",
"980000",71427,"2",1482621,"1",
"980000",51783,"3",1482621,"1",
"980000",70506,"4",1482621,"1",
"980000",135279,"5",1482621,"1",
"980070",217871,"1",1482621,"1",
"980070",76427,"2",1482621,"1",
"980070",56783,"3",1482621,"1",
"980070",75506,"4",1482621,"1",
"980070",140279,"5",1482621,"1",
"900000",50603,"1",1482622,"1",
"900000",50483,"2",1482622,"1",
"900000",52821,"3",1482622,"1",
"900000",51057,"4",1482622,"1",
"900000",59104,"5",1482622,"1",
"900180",35,"1",1482622,"1",
"900180",127,"2",1482622,"1",
"900180",57,"3",1482622,"1",
"900180",147,"4",1482622,"1",
"900180",91,"5",1482622,"1",
"900200",23,"1",1482622,"1",
"900200",25,"2",1482622,"1",
"900200",1,"3",1482622,"1",
"900200",48905,"4",1482622,"1",
"900200",4923,"5",1482622,"1",
"980000",50661,"1",1482622,"1",
"980000",50635,"2",1482622,"1",
"980000",52879,"3",1482622,"1",
"980000",100109,"4",1482622,"1",
"980000",64118,"5",1482622,"1",
"980070",55661,"1",1482622,"1",
"980070",55635,"2",1482622,"1",
"980070",57879,"3",1482622,"1",
"980070",105109,"4",1482622,"1",
"980070",69118,"5",1482622,"1",
"900000",42000,"1",1482651,"1",
"900000",42000,"2",1482651,"1",
"900000",42000,"3",1482651,"1",
"900000",42000,"4",1482651,"1",
"900000",42000,"5",1482651,"1",
"900160",16069,"1",1482651,"1",
"900160",62524,"2",1482651,"1",
"900160",39193,"3",1482651,"1",
"900160",43582,"4",1482651,"1",
"900160",43268,"5",1482651,"1",
"980000",58069,"1",1482651,"1",
"980000",104524,"2",1482651,"1",
"980000",81193,"3",1482651,"1",
"980000",85582,"4",1482651,"1",
"980000",85268,"5",1482651,"1",
"980070",58069,"1",1482651,"1",
"980070",104524,"2",1482651,"1",
"980070",81193,"3",1482651,"1",
"980070",85582,"4",1482651,"1",
"980070",85268,"5",1482651,"1",
"800940",4877,"1",1482652,"1",
"800940",3529,"2",1482652,"1",
"800940",7189,"3",1482652,"1",
"800940",3716,"4",1482652,"1",
"800940",3878,"5",1482652,"1",
"900000",42000,"1",1482652,"1",
"900000",42000,"2",1482652,"1",
"900000",42000,"3",1482652,"1",
"900000",42000,"4",1482652,"1",
"900000",42000,"5",1482652,"1",
"900160",91201,"1",1482652,"1",
"900160",33072,"2",1482652,"1",
"900160",36354,"3",1482652,"1",
"900160",16272,"4",1482652,"1",
"900160",60692,"5",1482652,"1",
"980000",133201,"1",1482652,"1",
"980000",75072,"2",1482652,"1",
