"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"900000",20000,"3",1419422,"1",
"900000",20000,"4",1419422,"1",
"900000",20000,"5",1419422,"1",
"950002",1600,"1",1419422,"1",
"950002",1600,"2",1419422,"1",
"950002",1600,"3",1419422,"1",
"950002",1600,"4",1419422,"1",
"950002",1600,"5",1419422,"1",
"950012",836,"1",1419422,"1",
"950012",836,"2",1419422,"1",
"950012",836,"3",1419422,"1",
"950012",836,"4",1419422,"1",
"950012",836,"5",1419422,"1",
"980000",20000,"1",1419422,"1",
"980000",20000,"2",1419422,"1",
"980000",20000,"3",1419422,"1",
"980000",20000,"4",1419422,"1",
"980000",20000,"5",1419422,"1",
"980070",17564,"1",1419422,"1",
"980070",17564,"2",1419422,"1",
"980070",17564,"3",1419422,"1",
"980070",17564,"4",1419422,"1",
"980070",17564,"5",1419422,"1",
"900000",66000,"1",1419441,"1",
"900000",66000,"2",1419441,"1",
"900000",66000,"3",1419441,"1",
"900000",66000,"4",1419441,"1",
"900000",66000,"5",1419441,"1",
"980000",66000,"1",1419441,"1",
"980000",66000,"2",1419441,"1",
"980000",66000,"3",1419441,"1",
"980000",66000,"4",1419441,"1",
"980000",66000,"5",1419441,"1",
"980070",71000,"1",1419441,"1",
"980070",71000,"2",1419441,"1",
"980070",71000,"3",1419441,"1",
"980070",71000,"4",1419441,"1",
"980070",71000,"5",1419441,"1",
"900000",66000,"1",1419442,"1",
"900000",66000,"2",1419442,"1",
"900000",66000,"3",1419442,"1",
"900000",66000,"4",1419442,"1",
"900000",66000,"5",1419442,"1",
"980000",66000,"1",1419442,"1",
"980000",66000,"2",1419442,"1",
"980000",66000,"3",1419442,"1",
"980000",66000,"4",1419442,"1",
"980000",66000,"5",1419442,"1",
"980070",71000,"1",1419442,"1",
"980070",71000,"2",1419442,"1",
"980070",71000,"3",1419442,"1",
"980070",71000,"4",1419442,"1",
"980070",71000,"5",1419442,"1",
"800940",10512,"1",1419451,"1","T"
"800940",10512,"2",1419451,"1","T"
"800940",10512,"3",1419451,"1","T"
"800940",10512,"4",1419451,"1","T"
"800940",10512,"5",1419451,"1","T"
"900000",22185,"1",1419451,"1",
"900000",8504,"2",1419451,"1",
"900000",24851,"3",1419451,"1",
"900000",16097,"4",1419451,"1",
"900000",30279,"5",1419451,"1",
"900160",-12449,"1",1419451,"1",
"900160",73146,"2",1419451,"1",
"900160",9743,"3",1419451,"1",
"900160",11188,"4",1419451,"1",
"900160",1284,"5",1419451,"1",
"980000",9736,"1",1419451,"1",
"980000",81650,"2",1419451,"1",
"980000",34594,"3",1419451,"1",
"980000",27285,"4",1419451,"1",
"980000",31563,"5",1419451,"1",
"980070",9736,"1",1419451,"1",
"980070",81650,"2",1419451,"1",
"980070",34594,"3",1419451,"1",
"980070",27285,"4",1419451,"1",
"980070",31563,"5",1419451,"1",
"900000",59765,"1",1419471,"1",
"900000",60037,"2",1419471,"1",
"900000",54363,"3",1419471,"1",
"900000",52613,"4",1419471,"1",
"900000",57793,"5",1419471,"1",
"900180",61,"1",1419471,"1",
"900180",109,"2",1419471,"1",
"900180",26,"3",1419471,"1",
"900180",126,"4",1419471,"1",
"900180",686,"5",1419471,"1",
"980000",59826,"1",1419471,"1",
"980000",60146,"2",1419471,"1",
"980000",54389,"3",1419471,"1",
"980000",52739,"4",1419471,"1",
"980000",58479,"5",1419471,"1",
"980070",59826,"1",1419471,"1",
"980070",60146,"2",1419471,"1",
"980070",54389,"3",1419471,"1",
"980070",52739,"4",1419471,"1",
"980070",58479,"5",1419471,"1",
"900000",53237,"1",1419472,"1",
"900000",51495,"2",1419472,"1",
"900000",52377,"3",1419472,"1",
"900000",59895,"4",1419472,"1",
"900000",55936,"5",1419472,"1",
"900180",34,"1",1419472,"1",
"900180",59,"2",1419472,"1",
"900180",10,"3",1419472,"1",
"900180",53,"4",1419472,"1",
"900180",115,"5",1419472,"1",
"980000",53271,"1",1419472,"1",
"980000",51554,"2",1419472,"1",
"980000",52387,"3",1419472,"1",
"980000",59948,"4",1419472,"1",
"980000",56051,"5",1419472,"1",
"980070",53271,"1",1419472,"1",
"980070",51554,"2",1419472,"1",
"980070",52387,"3",1419472,"1",
"980070",59948,"4",1419472,"1",
"980070",56051,"5",1419472,"1",
"900000",35360,"1",1419501,"1",
"900000",35360,"2",1419501,"1",
"900000",35360,"3",1419501,"1",
"900000",35360,"4",1419501,"1",
"900000",35360,"5",1419501,"1",
"980000",35360,"1",1419501,"1",
"980000",35360,"2",1419501,"1",
"980000",35360,"3",1419501,"1",
"980000",35360,"4",1419501,"1",
"980000",35360,"5",1419501,"1",
"980070",35860,"1",1419501,"1",
"980070",35860,"2",1419501,"1",
"980070",35860,"3",1419501,"1",
"980070",35860,"4",1419501,"1",
"980070",35860,"5",1419501,"1",
"900000",35360,"1",1419502,"1",
"900000",35360,"2",1419502,"1",
"900000",35360,"3",1419502,"1",
"900000",35360,"4",1419502,"1",
"900000",35360,"5",1419502,"1",
"980000",35360,"1",1419502,"1",
"980000",35360,"2",1419502,"1",
"980000",35360,"3",1419502,"1",
"980000",35360,"4",1419502,"1",
"980000",35360,"5",1419502,"1",
"980070",35860,"1",1419502,"1",
"980070",35860,"2",1419502,"1",
"980070",35860,"3",1419502,"1",
"980070",35860,"4",1419502,"1",
"980070",35860,"5",1419502,"1",
"900000",84391,"1",1419511,"1",
"900000",105674,"2",1419511,"1",
"900000",85811,"3",1419511,"1",
"900000",92901,"4",1419511,"1",
"900000",209123,"5",1419511,"1",
"900170",2524,"1",1419511,"1",
"900170",1742,"2",1419511,"1",
"900170",3593,"3",1419511,"1",
"900170",7377,"4",1419511,"1",
"900170",49096,"5",1419511,"1",
"900210",13653,"1",1419511,"1",
"900210",1161,"2",1419511,"1",
"900210",543,"3",1419511,"1",
"900210",4800,"4",1419511,"1",
"900210",8074,"5",1419511,"1",
"980000",100568,"1",1419511,"1",
"980000",108577,"2",1419511,"1",
"980000",89947,"3",1419511,"1",
"980000",105078,"4",1419511,"1",
"980000",266293,"5",1419511,"1",
"980070",98568,"1",1419511,"1",
"980070",106577,"2",1419511,"1",
"980070",87947,"3",1419511,"1",
"980070",103078,"4",1419511,"1",
"980070",264293,"5",1419511,"1",
"900000",180592,"1",1419512,"1",
"900000",62075,"2",1419512,"1",
"900000",92615,"3",1419512,"1",
"900000",127690,"4",1419512,"1",
"900000",59574,"5",1419512,"1",
"900170",11034,"1",1419512,"1",
"900170",24808,"2",1419512,"1",
"900170",25389,"3",1419512,"1",
"900170",3210,"4",1419512,"1",
"900170",4868,"5",1419512,"1",
"900210",8471,"1",1419512,"1",
"900210",2623,"2",1419512,"1",
"900210",509,"3",1419512,"1",
"900210",2044,"4",1419512,"1",
"900210",4800,"5",1419512,"1",
"980000",200097,"1",1419512,"1",
"980000",89506,"2",1419512,"1",
"980000",118513,"3",1419512,"1",
"980000",132944,"4",1419512,"1",
"980000",69242,"5",1419512,"1",
"980070",198097,"1",1419512,"1",
"980070",87506,"2",1419512,"1",
"980070",116513,"3",1419512,"1",
"980070",130944,"4",1419512,"1",
"980070",67242,"5",1419512,"1",
"900000",187500,"1",1419541,"1",
"900000",187500,"2",1419541,"1",
"900000",187500,"3",1419541,"1",
"900000",187500,"4",1419541,"1",
"900000",187500,"5",1419541,"1",
"900180",25,"1",1419541,"1",
"900180",55,"2",1419541,"1",
"900180",25,"3",1419541,"1",
"900180",23,"4",1419541,"1",
"900180",1,"5",1419541,"1",
"980000",187525,"1",1419541,"1",
"980000",187555,"2",1419541,"1",
"980000",187525,"3",1419541,"1",
"980000",187523,"4",1419541,"1",
"980000",187501,"5",1419541,"1",
"980070",193185,"1",1419541,"1",
"980070",193215,"2",1419541,"1",
"980070",193185,"3",1419541,"1",
"980070",193183,"4",1419541,"1",
"980070",193161,"5",1419541,"1",
"900000",187500,"1",1419542,"1",
"900000",187500,"2",1419542,"1",
"900000",187500,"3",1419542,"1",
"900000",187500,"4",1419542,"1",
"900000",187500,"5",1419542,"1",
"900180",34,"1",1419542,"1",
"900180",28,"2",1419542,"1",
"900180",12,"3",1419542,"1",
"900180",153,"4",1419542,"1",
"900180",44,"5",1419542,"1",
"980000",187534,"1",1419542,"1",
"980000",187528,"2",1419542,"1",
"980000",187512,"3",1419542,"1",
"980000",187653,"4",1419542,"1",
"980000",187544,"5",1419542,"1",
"980070",193194,"1",1419542,"1",
"980070",193188,"2",1419542,"1",
"980070",193172,"3",1419542,"1",
